,Unnamed: 0.1,Unnamed: 0,SMILES
78,78,78,[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])c3c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c3N(C([H])([H])[H])C2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
79,79,79,[H]c1c([H])c([H])c(-c2nc([H])c3c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c3n2)c([H])c1[H]
80,80,80,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H]
81,81,81,[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1Cl
82,82,82,[H]c1c([H])c([H])c(C([H])([H])C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c([H])c5OC([H])([H])[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
83,83,83,[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
84,84,84,[H]OC([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H]
85,85,85,[H]c1c([H])c([H])c(C([H])([H])C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
86,86,86,[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c([H])c5OC([H])([H])[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
87,87,87,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c(-c2nnn(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H]
88,88,88,[H]OC([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H]
89,89,89,[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H]
90,90,90,[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
91,91,91,[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
92,92,92,[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
93,93,93,[H]OC(=O)c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H]
94,94,94,[H]OC(=O)c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H]
95,95,95,[H]OC(=O)c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H]
96,96,96,[H]c1c([H])c([H])c(OC(=O)N(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C(=O)N([H])[H])c([H])c1[H]
97,97,97,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])N(C(=O)OC([H])([H])C(Cl)(Cl)Cl)C([H])([H])C([H])([H])C(=O)N([H])[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
