SMILES,source_file
[H]c1c([H])c([H])c(-c2nc([H])c3c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c3n2)c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1Cl,trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C([H])([H])C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c([H])c5OC([H])([H])[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C([H])([H])C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c([H])c5OC([H])([H])[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c(-c2nnn(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H],trainingset_covalent_smiles.csv
[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C(=O)n3nnc(-c4c([H])c([H])c(-c5c([H])c([H])c(C(=O)N([H])[H])c([H])c5[H])c([H])c4[H])c3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(=O)c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H],trainingset_covalent_smiles.csv
[H]OC(=O)c1c([H])c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c1[H],trainingset_covalent_smiles.csv
